Features,Arabizi,Arabizi 2,English,Topic
"توقيف , سوري , لبنان",,,,Arrest
"توقيف , نازح",,,,Arrest
"توقيف , سوريين",,,,Arrest
"المـــــديريـة العـامــــة لقــــــوى الأمــــن الداخـلي , سوري , قبض",,,,Arrest
"الجيش , توقيف , سوري",,,,Arrest
"الجيش , أوقف , سوري",,,,Arrest
"نازح , اعتداء",,,,Assault
"نازح , إعتداء",,,,Assault
"لاجئ , اعتداء",,,,Assault
"عون , أسد , حدود",,,,Border demarcation
"رئيس الجمهورية , سوريا , حدود",,,,Border demarcation
"ترسيم , خارجية",,,,Border demarcation
"ترسيم , تفاوض",,,,Border demarcation
"ترسيم , سوريا , حدود",,,,Border demarcation
"زياد حواط , سوريا , ترسيم",,,,Border demarcation
#MonthOfGood,,,,Ceremonial
#رمضان_الخير,,,,Ceremonial
رمضان المبارك,,,,Ceremonial
كورونا,,,,Covid
"ترسيم , حدود , سوريا",,,,External affairs
"ترسيم , حدود",,,,External affairs
"وزير الصحة , زيارة , سوريا",,,,External affairs
"الخارجية , اللبنانية",,,,External affairs
"بوتين , حريري",,,,External affairs
"دبلوماسي , شبعا",,,,External affairs
"نازح , دعم",,,,humanitarian aid
#نحن_لبعض,,,,humanitarian aid
UNHCR,,,,humanitarian aid
"البطريرك , حزب الله",,,,Internal politics
"الراعي , حزب الله , سوريا",,,,Internal politics
#mtvlebanonstars,,,,Other
مسلسل,,,,Other
"دنمارك , إقامة , سوريين",,,,Refugee Policy
"دنمارك , سوريا",,,,Refugee Policy
"المواطنين , المغتربين , إجراءات , سفارة",,,,Refugee Policy
#سفارة_الجمهورية_العربية_السورية_بيروت,,,,Refugee Policy
"سفارة , سورية , هوية",,,,Refugee Policy
"سرقة , سوري",,,,Arrest
"الجنوب , إسرائيل",,,,Security
"الجنوب , إسرائيلية",,,,Security
"جيش , سوري , مواد",,,,Smuggling
"جيش , سوريين , مواد",,,,Smuggling
"شحنة , سوريا , فاكهة",,,,Smuggling
"شحنة , سوريا , خضار",,,,Smuggling
"شحنة , سوريا , سعودية",,,,Smuggling
"تهريب , سوريا , إلى",,,,Smuggling
"الأبقار , سوريا",,,,Smuggling
"الغنم , سوريا , تهريب",,,,Smuggling
"توقيف , سوري , معلومات",,,,Smuggling
"مواد , مدعومة , سوريا",,,,Smuggling
"النفظ , سرقة , سوريا",,,,Smuggling
"الغاز , سوريا , تهريب",,,,Smuggling
"بنزين , تهريب , معلومات",,,,Smuggling
"الأسد , انتخابات",,,,Syrian elections
"انتخابات , سوريا",,,,Syrian elections
"انتخابات , لاجئ",,,,Syrian elections
"انتخابات , نازح",,,,Syrian elections
"ترشح , انتخابات , سوريا",,,,Syrian elections
"وصفة , طبق",,,,Other
مسلسل,,,,Other
"طريقة , تحضير",,,,Other
"بشار , الأسد, انتخابات",,,,Syrian elections
"أرض , للبيع",,,,Other
"مواجهات , سوريين , مواطنين , انتخابات",,,,Tensions linked to the Syrian elections
"مواجهات , سوريين , لبنانيين , انتخابات",,,,Tensions linked to the Syrian elections
"جعجع ، بشار , انتخابات",,,,Calls for the return of refugees to Syria
"الجيش , حماة , الوطن",,,,Pro-Lebanese army
"الله , يحمي , الجيش , اللبناني",,,,Pro-Lebanese army
"الله , يحمي , جيش , لبنان",,,,Pro-Lebanese army
"شدياق , سوريين , انتخابات",,,,Calls for the return of refugees to Syria
"الاحداث , الانتخابات , السورية",,,,Syrian elections
"باسيل , نازحين , مسالمين , اعتداء",,,,Pro Bashar Al Asad
"باسيل , هنأ , انتخاب , إعادة , سوريا",,,,Pro Bashar Al Asad
"تسهيل , عودة , النازحين ",,,,Calls for the return of refugees to Syria
"برقيات , التهنئة , سوريا",,,,Pro Bashar Al Asad
"ينتخب , يعود , سوريا",,,,Calls for the return of refugees to Syria
"تحرير , فلسطين",,,,Pro-Palestine
"حزب , الله , سوريا , بشار",,,,Pro Bashar Al Asad
#الانتخابات_السورية,,,,Syrian elections
"عاشت , سوريا , الأسد",,,,Pro Bashar Al Asad
#بشار_الكيماوي,,,,Anti Bashar Al Asad
#بشار_البهرزي,,,,Anti Bashar Al Asad
"الحزب , يهنئ , سوري",,,,Pro Bashar Al Asad
"منعهم , السفارة , السورية",,,,Anti Bashar Al Asad
"سوريا , جامعة , الدول , العربية",,,,League of Arab States and syria
"تهريب , طحين , سوريا",,,,smuggling
"وفاة , الانتخابات , السورية",,,,Tensions linked to the Syrian elections
"سوريا , انترنت , امتحانات",,,,Other
"باسيل , القوات , نازيون",,,,Tensions linked to the Syrian elections
"غزة , قصف",,,,Israeli Gov war on Occupied palestine
#SaveSheikhJarrah,,,,Israeli Gov war on Occupied palestine
#انقذوا_حي_سلوان,,,,Israeli Gov war on Occupied palestine
Pro Bashar Al Asad,,,,Israeli Gov war on Occupied palestine